name,price
Python数字信号处理应用(异步图书出品),20.25
Python程序设计教程/高等院校计算机技术与应用系列规划教材,22.50
Python Web开发从入门到精通,89.90
Python模块参考手册·系统与控制（全彩版）,47.10
【新书预售】Python3网络爬虫宝典 韦世东+Python 3网络爬虫开发实战 崔庆才 共2册,133.50
PyQt5快速开发与实战(博文视点出品),88.10
套装共三册 Python编程三剑客 Python编程从入门到实践+快速上手+极客项目编程,156.50
计算思维与Python编程(异步图书出品),35.55
Python 3.7网络爬虫快速入门,22.05
Python即学即用,41.30
高效自动化测试平台：设计与开发实战(博文视点出品),94.30
Python数据可视化之matplotlib精进(博文视点出品),61.40
Python编程从入门到实践 python基础教程 零基础学Python自学图书 书籍,66.80
Python地理数据处理(异步图书出品),55.70
Python程序员面试宝典 剑指offer,44.90
Python从小白到大牛,64.10
Python接口自动化测试(博文视点出品),52.50
【套装5本】ArcGIS从0到1+Python地理数据处理+基于ArcGIS的Python编程秘笈+,281.00
Python Web 开发从入门到实战（Django+Bootstrap）-微课视频版（从入门到,26.95
Python测试之道,29.90
基于Python语言的Selenium自动化测试,39.90
Python数据可视化,48.30
Python与有限元--基于Python编程的有限元分析及应用扩展,28.40
青少年Python编程入门,22.50
实战Python网络爬虫,44.55
2册零基础Python+Java从入门到精通基础教程基础核心进阶实战编程书籍 R,69.80
Python科学计算(第2版)（附光盘）,53.10
Python 3反爬虫原理与绕过实战(图灵出品),62.80
玩着也能学Python(中国教育新闻联播、樊登读书会、潘石屹推荐),44.00
Python计算机视觉编程(图灵出品),48.70
Python编程三剑客：Python编程从入门到实践+快速上手+极客编程（套装3册）,156.00
机器学习 使用OpenCV和Python进行智能图像处理,48.20
Python算法指南：程序员经典算法分析与实现/清华开发者书库,53.55
量化投资四部曲：Python量化交易：策略、技巧与实战/以Python为工具/零起点 大数据与/基础 正版 全四册,299.00
Python 3.8从零开始学,35.91
Python金融实战案例精粹(异步图书出品),59.50
利用Python进行数据分析  原书第二版 华章图书 O'Reilly精品图书系列 ,79.80
Python程序设计 第3版(异步图书出品),31.05
Python程序设计与算法基础教程（第2版）/21世纪高等学校计算机类课程创新规划教材· 微课版,53.10
Python爬虫技术：深入理解原理、技术与开发/宁哥大讲堂,40.05
Python App开发黄金组合（京东套装共3册）,236.40
深入浅出Python机器学习,31.05
利用Python进行数据分析（原书第2版）,79.00
Python数学编程(异步图书出品),41.60
Python游戏编程入门(异步图书出品),22.05
机器学习实战 python基础教程指南,49.00
Python从菜鸟到高手,57.60
基于Python的大数据分析基础及实战,23.00
流畅的Python,98.70
Python神经网络编程(异步图书出品),31.05
深度学习入门 基于Python的理论与实现+深度学习的数学+Python深度学习（套装共3册）(图灵出品),174.20
Python编程(第4版),134.70
Python数据可视化之matplotlib实践(博文视点出品),52.50
Python编程（第4版 套装上下册）,151.40
Python机器学习基础教程(图灵出品),55.70
Python金融大数据分析 第2版(异步图书出品),62.55
Python编程从数据分析到机器学习实践（微课视频版）,49.90
Python编程从零基础到项目实战（微课视频版）,26.30
Python Qt GUI与数据可视化编程(异步图书出品),69.80
零基础学Python从入门到精通 python基础教程基础核心进阶实战编程书 精通计算机程序设计pathon核心技术网络爬虫书籍 源代码视频,25.10
疯狂Python讲义(博文视点出品),105.00
Python从入门到项目实战（全程视频版）,32.90
Python机器学习手册：从数据预处理到深度学习(博文视点出品),79.20
Python预测之美：数据分析与算法实战(博文视点出品),105.90
Python数据处理(图灵出品),69.80
Python数据分析 活用Pandas库(图灵出品),62.80
数据结构与算法：Python语言实现,96.70
Python数学实验与建模,140.60
Python学习手册 原书第5版2册 华章图书 O'Reilly精品图书系列,142.40
Python数据科学手册(图灵出品),76.90
Python 3.8从入门到精通（视频教学版）,40.05
正版 Python深度学习 deep learning深度学习 python人工智能机器学习经典教程,78.00
Python数据结构与算法分析 第2版(图灵出品),55.70
笨办法学Python 3 进阶篇(异步图书出品),26.55
Python网络爬虫权威指南 第2版,56.90
Python编程超级魔卡（全彩版）,26.10
Python网络爬虫权威指南 第2版(图灵出品),55.70
Python网络爬虫开发从入门到精通,39.50
C Primer Plus 第6版 中文版习题解答(异步图书出品),35.55
Python极简讲义：一本书入门数据分析与机器学习(博文视点出品),113.90
Flask Web开发 基于Python的Web应用开发实战 第2版,49.70
Python股票量化交易从入门到实践(异步图书出品),40.05
Python数据分析基础(图灵出品),48.70
Python深度学习 逻辑、算法与编程实战,82.10
Effective Python：编写高质量Python代码的59个有效方法,41.30
Python数据分析黄金组合：零基础学Python+数据分析+编程百例（京东套装3册）,217.50
正版Python 3网络爬虫开发实战 Scrapy数据分析处理手册 数据抓取指南python程序设计,69.00
算法精粹 经典计算机科学问题的Python实现(异步图书出品),26.55
Python自然语言处理(异步图书出品),40.05
Python自动化运维实战(异步图书出品),55.70
Python学习手册 原书第5版+利用Python进行数据分析 原书第2版,246.10
Python高性能编程(异步图书出品),55.70
实战Python网络爬虫,44.55
Python黄金学习组合（京东套装共4册）,244.00
青少年Python编程入门,22.50
2册零基础Python+Java从入门到精通基础教程基础核心进阶实战编程书籍 R,69.80
Python科学计算(第2版)（附光盘）,53.10
Python 3反爬虫原理与绕过实战(图灵出品),62.80
玩着也能学Python(中国教育新闻联播、樊登读书会、潘石屹推荐),44.00
Python计算机视觉编程(图灵出品),48.70
Python编程三剑客：Python编程从入门到实践+快速上手+极客编程（套装3册）,156.00
机器学习 使用OpenCV和Python进行智能图像处理,48.20
Python算法指南：程序员经典算法分析与实现/清华开发者书库,53.55
量化投资四部曲：Python量化交易：策略、技巧与实战/以Python为工具/零起点 大数据与/基础 正版 全四册,299.00
Python 3.8从零开始学,35.91
Python金融实战案例精粹(异步图书出品),59.50
利用Python进行数据分析  原书第二版 华章图书 O'Reilly精品图书系列 ,79.80
Python程序设计 第3版(异步图书出品),31.05
Python程序设计与算法基础教程（第2版）/21世纪高等学校计算机类课程创新规划教材· 微课版,53.10
Python爬虫技术：深入理解原理、技术与开发/宁哥大讲堂,40.05
Python App开发黄金组合（京东套装共3册）,236.40
深入浅出Python机器学习,31.05
利用Python进行数据分析（原书第2版）,79.00
流畅的Python ,96.80
Selenium 3+Python 3自动化测试项目实战-从菜鸟到高手,56.88
Python性能分析与优化,41.54
Python高效开发实战 Django Tornado Flask Twisted 第2版 Pyt,73.40
Python应用开发实战,39.10
Python3.5从零开始学,35.80
Python深度学习应用,37.10
Python数据可视化之matplotlib实践 数据分析从入门到实战系列 刘大成,39.90
Python机器学习算法,37.90
Python少儿趣味编程,35.30
Python量化交易实战,47.50
Python语言程序设计,32.80
 Python基础教程(第3版) ,87.69
物联网Python开发实战,51.75
零基础Python从入门到精通  广东人民出版社 零壹快学新华书店正,52.35
Python从小白到大牛,65.90
从零起步学编程 Python篇+Java篇+C#篇+CSS篇 套装全4册,75.00
 从Python开始学编程 ,44.10
虫术(Python绝技),70.10
包邮 Python测试驱动开发 第2版,89.10
Python科学计算(第2版),111.06
编程三剑客：java+c语言+python 入门经典（京东套装共3册）,98.73
包邮 用Python写网络爬虫 第2版,26.90
从零开始学Python网络爬虫,41.89
Python趣味编程10例(STEAM &创客教育趣学指南)/达人迷,44.50
【官方正版】Python速查手册 模块卷 Python常用基本内置模块详解 Python属性语法应用,84.00
Python数据分析与应用,37.35
Spark数据分析(基于Python语言英文版)/经典原版书库,67.20
Python编程基础(高等职业教育系列教材)/大数据系列,34.20
C语言程序设计从入门到精通 python编程入门指南 java零基础自学教程 计算机编程语言套装,119.80
Python密码学编程(异步图书出品),48.70
包邮 精通Python设计模式 第2版,38.70
包邮 Python科学计算zuijia实践 SciPy指南,53.00
Python和Pygame游戏开发指南,42.50
Python程序设计 课,37.24
PYTHON趣味编程 从入门到人工智能,45.10
Python入门很简单,31.05
 零基础轻松学Python ,48.04
Python3网络爬虫宝典,70.30
机器人Python青少年编程开发实例(博文视点出品),52.50
包邮 对比Excel轻松学习Python数据分析,36.00
Python数据分析与实践 柳毅 毛峰 python语言编程教程书籍 ,43.00
Python编程与几何图形,54.46
Python与机器学习实战(决策树集成学习支持向量机与神经网络算法详解及编程实现),37.95
Python全案例学习与实践,113.90
Python编程之旅：与小博士漫游太阳系,35.91
Python语言程序设计教程 /全国高等院校重点规划教材·程序设计系列,46.50
从Python新手到Django架站高手（套装共2册）,134.30
包邮 利用Python进行数据分析（原书第2版）|8050025,79.00
包邮 Python游戏编程入门+Python游戏编程快速上手+ Python和Pygame游戏开发指,178.80
数据结构——Python语言描述,48.40
Python和HDF 5大数据应用(异步图书出品),27.50
深度学习系列：基础教程+Python+Tensorflow+Theano（京东套装共4册）,203.00
正版全新  Python轻松学 爬虫 游戏与架站+跟老齐学Python Django实战+高效开发实,238.00
Python量化交易,76.23
Python+Spark 2.0+Hadoop机器学习与大数据实战 Python Spark 2.0 Hadoop,48.00
流畅的Python [巴西]卢西亚诺·拉马略(Luciano Ramalho) 9787115454,70.14
学习编程第一步 零基础上手Python开发,67.80
Python编程从数据分析到机器学习实践（微课视频版）Python 入门Python编程从入门到实践,99.80
包邮Python自然语言处理+Python自然语言处理实战核心技术与算法+Python文本分析,221.80
Python大数据基础 计算机与互联网 张晓主编 西安电子科技大学出版社 9787560656670,26.20
Python高级编程(第2版),64.00
爬虫工程师经典教程：Python3网络爬虫开发实战+Python 3反爬虫原理与绕过实战（京东套装共2册）,132.60
精通特征工程 人工智能机器学习教程书籍 特征工程入门 通过Python示例掌握特征工程基本原则,29.50
包邮 Python统计分析,59.80
Python科学计算基础教程(图灵出品),34.60
正版全新 Python Web开发实战+Python Qt GUI快速编程：PyQt编程指南,156.00
Odoo快速入门与实战：Python开发ERP指南,55.30
【满68包邮】实战Python网络爬虫  黄永祥  清华大学,70.30
包邮 【套装三册】Python程序员面试算法宝典+剑指Offer+数据库程序员面试笔试真题库,145.00
从Scratch到Python轻松学,54.60
数据科学导论——R与Python实现,43.20
Python金融大数据风控建模实战(基于机器学习),61.88
[套装书]从零开始学Scrapy网络爬虫(视频教学版)+Python学习|8063558,216.20
数据结构——Python语言描述,48.80
Python黑客攻防入门+Python黑帽子+Python绝技 全3册 程序设计教材 计算机程序编程,137.80
Python自然语言处理与开发/人工智能与大数据系列,40.05
Python绝技：运用Python成为顶级黑客,56.88
Python机器学习手册：从数据预处理到深度学习,64.08
Python高性能编程,56.90
和孩子一起玩编程 第2版(图灵出品),55.70
微服务实战(异步图书出品),40.05
【官方正版】Python数据分析与可视化 微课视频版 python数据分析爬虫技巧 计算机高效数据处,35.00
Python语言程序设计 华章图书 计算机科学丛书,52.90
父与子的编程之旅(与小卡特一起学Python)/图灵程序设计丛书,35.90
Python核心编程实践/大数据人工智能系列丛书,26.10
Python3智能数据分析快速入门,83.30
Keras深度学习 基于Python(图灵出品),69.80
计算机科学概论 第13版 英文版(异步图书出品),44.55
[包邮特价]Python数据分析与数据化运营 第2版 计算机与互联网 |232489,61.90
Python数据分析与大数据处理从入门到精通,44.50
Python数据可视化之美：专业图表绘制指南（全彩）,88.00
Python渗透测试编程技术 方法与实践,31.05
华章程序员书库·Python编程实战：运用设计模式、并发和程序库创建高质量程序,56.90
Python趣味编程入门,24.50
机器学习+深入浅出Python机器学习（京东套装共2册）,79.45
